Id,Name,Status,Sector,Type,Phase,Specialization,ExamNo,Province,District_Municipality,Local_Municipality,Postal_Code
918510576,Matokane,Operational,Public,Ordinary School,Secondary School,Comprehensive,7082206,Lp,Dc33,Np333,
919340456,Botlokwa,Operational,Public,Ordinary School,Primary School,Ordinary,Nan,Lp,Dc35,Np353,
920211237,Mphengwa,Operational,Public,Ordinary School,Secondary School,Ordinary,7043106,Lp,Dc35,Np351,
922220293,John Nrimba,Operational,Public,Ordinary School,Primary School,Ordinary,Nan,Lp,Dc35,Np352,
100000037,Eagle S Nest Ministries Sa,Operational,Independent,Ordinary School,Primary School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7570
100000038,Silvermine Academy,Operational,Independent,Ordinary School,Secondary School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7975
100000054,Academy Private School,Operational,Independent,Ordinary School,Combined School,Ordinary School,1004494,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7580
100000055,Claremont High School,Operational,Public,Ordinary School,Secondary School,Maths Science And Technology,1001203,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7708
100000056,Westlake Primary School,Operational,Public,Ordinary School,Primary School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7945
100000065,Reddam House Atlantic Seaboard,Operational,Independent,Ordinary School,Combined School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,8005
100000070,Ies International Heldeberg School Pty Ltd,Operational,Independent,Ordinary School,Combined School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7130
100000078,Disa Primary School Hout Bay,Operational,Public,Ordinary School,Primary School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7806
100000091,Cederberg Academy,Operational,Public,Ordinary School,Secondary School,Ordinary School,1005596,Wc,West Coast,Cederberg Local Municipality,7340
100000103,Lycee Francais Du Cap Francois Le Vaillant,Operational,Independent,Ordinary School,Combined School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,8001
100000108,Northpine Technical High School,Operational,Public,Ordinary School,Secondary School,Ordinary School,1004497,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7560
100000109,Delft Technical High School,Operational,Public,Ordinary School,Secondary School,Ordinary School,1005432,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7100
100000110,Melkbos High School,Operational,Public,Ordinary School,Secondary School,Ordinary School,1002273,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7441
100000122,Fisantekraal High School,Operational,Public,Ordinary School,Secondary School,Ordinary School,1002291,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7550
100000123,Beaufort West Prim Re Skool,Operational,Public,Ordinary School,Primary School,Ordinary School,0,Wc,Central Karoo,Beaufort West Local Municipality,6970
100000124,Louwville Ho Rskool,Operational,Public,Ordinary School,Secondary School,Ordinary School,1005532,Wc,West Coast,Saldanha Bay Local Municipality,7380
100000126,Gateway Primary School,Operational,Public,Ordinary School,Primary School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7102
100000127,Rouxville Primary School,Operational,Public,Ordinary School,Primary School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7580
100000128,Hope And Light Community Welfare Npc Trading As,Operational,Independent,Ordinary School,Combined School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7130
100000129,Silikamva High School,Operational,Public,Ordinary School,Secondary School,Ordinary School,1009919,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7806
100000143,Pringle House,Operational,Independent,Ordinary School,Primary School,Ordinary School,0,Wc,Overberg,Overstrand Local Municipality,7196
100000151,Al Azhar High School,Operational,Independent,Ordinary School,Secondary School,Ordinary School,1001158,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7764
100000152,Hyde Park College,Operational,Independent,Ordinary School,Combined School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7785
100000153,Mount View Education Centre,Operational,Independent,Ordinary School,Combined School,Ordinary School,1007779,Wc,Cape Winelands,Stellenbosch Local Municipality,7600
100000211,Crescent Primary School Npc,Operational,Independent,Ordinary School,Intermediate School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7945
100000217,Christmas Tinto Primary School,Operational,Public,Ordinary School,Primary School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7140
100000220,Curro Hermanus,Operational,Independent,Ordinary School,Combined School,Ordinary School,0,Wc,Overberg,Overstrand Local Municipality,7200
100000231,Albert College,Operational,Independent,Ordinary School,Combined School,Ordinary School,0,Wc,Central Karoo,Prince Albert Local Municipality,6930
100000029,Gaia Waldorf School,Operational,Independent,Ordinary School,Primary School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7405
100000030,Darun Na Im Academy,Operational,Independent,Ordinary School,Combined School,Ordinary School,1009984,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7800
100000031,Atlantic Beach College,Operational,Independent,Ordinary School,Primary School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7441
100000036,Knysna Christian Mission School,Operational,Independent,Ordinary School,Primary School,Ordinary School,0,Wc,Eden,Knysna Local Municipality,6570
100000232,Christelike Privaatskool Leipoldtville,Operational,Independent,Ordinary School,Primary School,Ordinary School,0,Wc,West Coast,Cederberg Local Municipality,8122
100000235,Sunningdale Primary School,Operational,Public,Ordinary School,Primary School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7441
100000250,Destinatus Privaatskool,Operational,Independent,Ordinary School,Primary School,Ordinary School,0,Wc,City Of Cape Town Metropolitan Municipality,City Of Cape Town Metropolitan Municipality,7560
100000260,Carnegie House Preparatory,Operational,Independent,Ordinary School,Intermediate School,Ordinary School,0,Wc,West Coast,Swartland Local Municipality,7300
